House_ID,House_Name,Location,BHK,Monthly_Rent,Area_sqft,Furnishing_Status,Floor_Type,Parking_Available,Distance_to_Metro_km,Amenities_Score,Listed_Date,Target_Tenant,Rating
63,Metro View 86,KORAMANGALA,2BHK,25147.04,1396.6,UNFURNISHED,Ground Floor,NO,4.4,6.5,24-05-2027,any,2.4
64,Sunshine Residency 32,JP NAGAR,1BHK,14056.6,718.1,UNFURNISHED,HIGH RISE,NO,1.9,3.4,27-Oct-25,BACHELOR,2
65,Royal Residency 2,Whitefield,2bhk,21486.9,2073.2,Unfurnished,Mid Rise,Yes,4.66,,30-06-2027,FAMILY,4.6
66,Elite Apartments 44,Hebbal,1bhk,15486.32,1339,Furnished,HIGH RISE,YES,3.96,7.8,25-03-2026,Bachelor,4.9
67,Metro View 35,KORAMANGALA,2 BHK,26957.62,867.5,Semi-Furnished,Ground Floor,NO,4.16,6.7,12-Nov-25,any,1.4
68,Comfort Villa 68,Whitefield,3 BHK,,2264.9,UNFURNISHED,Ground Floor,no,8.29,9.1,09-04-2027,Family,3.9
69,Elite Apartments 89,hsr layout,3 BHK,28630.88,1826.4,FURNISHED,GROUND FLOOR,Yes,5.83,4.3,06-02-2027,Bachelor,4.1
70,Sunshine Residency 50,Indiranagar,2bhk,9950.21,2545.9,FURNISHED,HIGH RISE,no,8.47,3.5,12-12-2025,FAMILY,4.4
71,Elite Apartments 47,Whitefield,3BHK,34201.59,691.2,furnished,GROUND FLOOR,NO,6.05,4.9,11-Mar-26,bachelor,4.8
72,Green Park Apartments 46,JP NAGAR,1bhk,6869.63,1227.3,Semi-Furnished,HIGH RISE,No,4.09,7.3,11-03-2026,bachelor,4.4
73,Metro View 54,  JP NAGAR  ,2BHK,24569.8,2797.6,semi-furnished,GROUND FLOOR,YES,0.73,8,30-08-2025,FAMILY,3.7
74,City Homes 78,btm layout,2BHK,22605.16,-100,semi-furnished,Ground Floor,NO,1.34,3.2,10-07-2026,Bachelor,5
75,Comfort Villa 99,hsr layout,3bhk,38990.05,459.7,UNFURNISHED,High Rise,yes,1.56,5.1,29-08-2026,any,1.2
76,Urban Heights 64,jayanagar,3bhk,34315.91,2382.8,Furnished,Mid Rise,YES,6.14,3,08-Apr-27,BACHELOR,2.9
77,Metro View 26,Indiranagar,2 BHK,25768.52,2524.3,unfurnished,High Rise,no,2.46,4.4,07-Jul-25,Bachelor,1.2
78,Royal Residency 28,  KORAMANGALA  ,2BHK,12444.39,986.6,Semi-Furnished,Mid Rise,NO,8.38,2.3,11-09-2026,Family,3
79,Comfort Villa 55,electronic city,3BHK,34076.99,1540,furnished,low rise,no,8.56,1.2,31-May-27,FAMILY,4.9
80,Sunshine Residency 14,Hebbal,1bhk,22506.06,1116.9,Semi-Furnished,High Rise,Yes,5.08,7.6,27-01-2026,Any,2.5
81,Comfort Villa 77,Jayanagar,4 BHK,44720.82,1471.4,Unfurnished,Low Rise,no,0.2,4.3,03-02-2026,bachelor,2.9
82,City Homes 22,KORAMANGALA,3bhk,39774.54,1784.4,Unfurnished,Ground Floor,No,7.23,4.9,10-07-2026,family,2.4
83,Green Park Apartments 32,Marathahalli,3bhk,41332.16,832.4,Unfurnished,ground floor,,2.25,5.5,25-09-2025,Bachelor,1.7
84,Sunshine Residency 51,Jayanagar,1bhk,20016.68,912.2,Furnished,Ground Floor,No,0.92,2.2,20-02-2025,FAMILY,2.2
85,Royal Residency 58,KORAMANGALA,2bhk,21121.26,2665.2,FURNISHED,Mid Rise,NO,3.61,9.1,09-Jan-26,Any,3.4
86,Green Park Apartments 35,Electronic City,3bhk,29878.9,649.1,Semi-Furnished,Ground Floor,No,8.62,6.4,17-08-2025,FAMILY,1.4
87,City Homes 12,WHITEFIELD,2bhk,20132.42,2424.7,furnished,Mid Rise,yes,5.12,,29-06-2025,Family,4.4
88,Royal Residency 49,KORAMANGALA,3BHK,26094.54,2197.1,furnished,HIGH RISE,YES,1.75,1.1,09-03-2026,Any,2
89,Lake View Residency 99,Whitefield,1 BHK,17698.93,686,Furnished,Mid Rise,Yes,5.32,1.1,02-12-2026,BACHELOR,2.4
90,City Homes 11,JP NAGAR,3bhk,35048.78,2542.7,furnished,Ground Floor,Yes,5.38,3.2,30-12-2025,Any,
91,Royal Residency 76,JP NAGAR,4 BHK,40783.52,595,Semi-Furnished,High Rise,YES,1.82,6.1,12-Aug-26,Any,1.2
92,Urban Heights 33,indiranagar,1BHK,6421.75,603.6,furnished,low rise,,2.85,3.2,21-06-2025,Family,1.6
93,Comfort Villa 78,Koramangala,1bhk,5330.67,937.4,furnished,Ground Floor,No,1.33,1.2,18-01-2027,BACHELOR,1.8
94,Urban Heights 53,Jayanagar,3 BHK,,2993,semi-furnished,Mid Rise,YES,0.75,9.2,11-05-2025,bachelor,1.9
95,City Homes 34,electronic city,3BHK,37323.87,2872.7,semi-furnished,Low Rise,NO,7.86,8,14-Mar-26,BACHELOR,3.8
96,Royal Residency 62,JP NAGAR,3 BHK,27331.85,1240.9,Semi-Furnished,Ground Floor,Yes,9.26,9.1,07-02-2025,any,2.5
97,Lake View Residency 73,Electronic City,1BHK,21739.33,1390.1,Semi-Furnished,Low Rise,YES,9.21,6.1,16-08-2025,BACHELOR,4.1
98,Budget Homes 59,Koramangala,1BHK,22614.32,800.2,Furnished,HIGH RISE,YES,2.98,6.3,19-Nov-26,any,
99,Sunshine Residency 57,  HSR Layout  ,4 BHK,43258.3,,Semi-Furnished,HIGH RISE,NO,9.39,6.8,01-Dec-26,Any,4.6
100,City Homes 73,Whitefield,2bhk,31201.07,2386.4,Furnished,Low Rise,NO,6.47,2.5,10-02-2025,Family,2.4
101,Green Park Apartments 79,indiranagar,3 BHK,33637.72,1102.2,unfurnished,Low Rise,No,4.78,8.9,11-05-2026,Family,4.3
102,Elite Apartments 68,Electronic City,3BHK,33218.66,1602.8,unfurnished,HIGH RISE,NO,2.26,7.1,23-Oct-25,FAMILY,2.5
103,Green Park Apartments 28,indiranagar,4 BHK,50929.54,1528.5,unfurnished,GROUND FLOOR,yes,6.38,8.2,06-07-2026,Bachelor,4.6
104,City Homes 77,electronic city,4 BHK,40493.7,1542.9,FURNISHED,HIGH RISE,,6.75,9.4,08-06-2027,FAMILY,2
105,City Homes 27,JP Nagar,2bhk,20610.7,1235.9,semi-furnished,Ground Floor,No,6.02,3.6,10-03-2026,BACHELOR,1.9
106,Elite Apartments 54,Whitefield,4 BHK,43529.55,1988.1,Unfurnished,High Rise,no,5.97,,08-Apr-25,family,1.8
107,Elite Apartments 50,electronic city,3 BHK,36689.11,905.4,Semi-Furnished,HIGH RISE,yes,5.45,1.5,13-Dec-26,bachelor,2
108,City Homes 42,WHITEFIELD,4 BHK,48926.72,2536.3,UNFURNISHED,ground floor,Yes,3.43,3.3,21-02-2025,BACHELOR,1.5
109,Green Park Apartments 100,jayanagar,3bhk,33444.61,734.4,furnished,Low Rise,NO,6.49,9.5,08-02-2027,Any,5
110,Elite Apartments 97,btm layout,1BHK,13332.19,627.8,Unfurnished,Low Rise,no,1.34 km,5.8,06-07-2026,Bachelor,2.6
111,Green Park Apartments 17,Indiranagar,2BHK,18307.79,747.9,semi-furnished,High Rise,Yes,5.76,1.4,22-06-2025,family,
112,City Homes 52,Indiranagar,4 BHK,42501.07,2107.8,Furnished,GROUND FLOOR,yes,5.13,8.7,04-Jun-25,family,1.8
113,Urban Heights 68,KORAMANGALA,1bhk,9460.27,1938.2,Semi-Furnished,HIGH RISE,YES,2.87,2,06-06-2026,any,4
114,Metro View 11,Indiranagar,1 BHK,12038,2029.1,Furnished,Mid Rise,NO,8.98,9.8,15-12-2026,BACHELOR,2.8
115,City Homes 87,Jayanagar,3BHK,31685.43,1202.7,Unfurnished,Low Rise,No,7.71,3.9,24-May-26,family,1
116,Urban Heights 20,btm layout,2bhk,13961.82,2404.6,UNFURNISHED,High Rise,yes,1.22,3.2,24-07-2025,Bachelor,2.9
117,City Homes 1,KORAMANGALA,2 BHK,25518.47,1760.8,unfurnished,ground floor,NO,2.72,6.5,03-01-2025,BACHELOR,3.5
118,Sunshine Residency 22,WHITEFIELD,1bhk,13322.27,1741.2,FURNISHED,Low Rise,no,2.68,3.6,11-01-2026,any,5
119,City Homes 37,KORAMANGALA,2BHK,23050.25,1036.4,UNFURNISHED,HIGH RISE,YES,8.37,5.7,10-07-2025,any,1.3
120,Royal Residency 54,Marathahalli,2 BHK,25860.95,1600.6,Unfurnished,GROUND FLOOR,YES,5.44,4.3,22-11-2025,family,4.5
121,City Homes 5,Electronic City,3bhk,500000,1583.7,unfurnished,Low Rise,NO,2.25,6.5,16-08-2025,FAMILY,3.4
122,Sunshine Residency 2,Electronic City,3BHK,30282.12,2782.2,UNFURNISHED,low rise,yes,8.41 km,3.6,02-07-2025,any,3.2
123,Lake View Residency 93,KORAMANGALA,2BHK,24531.13,1171.2,semi-furnished,Ground Floor,yes,5.36 km,9.9,23-09-2026,Family,2.1
124,Metro View 14,WHITEFIELD,3 BHK,26043.31,2373.6,unfurnished,ground floor,YES,1.71,1.1,08-Oct-26,family,4.4
125,Lake View Residency 72,Whitefield,2 BHK,16297.67,453.7,Semi-Furnished,Low Rise,no,3.44,6.7,07-Jul-25,Bachelor,3
126,Sunshine Residency 5,electronic city,1bhk,14194.21,2693.2,furnished,ground floor,YES,0.78,6.1,26-Jan-27,Bachelor,4.5
127,Elite Apartments 49,WHITEFIELD,2bhk,23465.77,847.3,semi-furnished,HIGH RISE,,9.18,9.5,07-11-2026,BACHELOR,2.9
128,Elite Apartments 38,Whitefield,1 BHK,23568.94,1126.2,Semi-Furnished,HIGH RISE,no,2.14,3.2,18-May-25,BACHELOR,4.7
129,Elite Apartments 100,Jayanagar,1BHK,12335.45,1251,UNFURNISHED,low rise,Yes,6.09,1.3,07-Dec-26,BACHELOR,2.5
130,Green Park Apartments 78,jayanagar,2 BHK,29844.83,2984.5,UNFURNISHED,Ground Floor,No,3.62,1,10-10-2025,FAMILY,2.2
131,Green Park Apartments 32,Indiranagar,1bhk,18082.35,1868.3,unfurnished,High Rise,No,8.27,5.7,18-04-2026,any,1.4
132,Lake View Residency 88,jayanagar,1 BHK,12139.87,896,FURNISHED,HIGH RISE,YES,3.29,3,07-08-2025,FAMILY,3.4
133,Metro View 69,BTM Layout,2 BHK,24455.36,1663.8,Unfurnished,GROUND FLOOR,no,2.92,8.6,23-02-2025,BACHELOR,2.5
134,Lake View Residency 84,JP NAGAR,2BHK,10626.7,1485,Semi-Furnished,High Rise,Yes,0.63,9.5,31-01-2026,Any,
135,City Homes 47,HSR Layout,2bhk,21057.36,2684.7,unfurnished,Low Rise,NO,4,7.9,16-11-2026,any,1.3
136,City Homes 33,Marathahalli,3BHK,29095.43,1779.9,Semi-Furnished,ground floor,YES,0.94,5.4,06-10-2025,FAMILY,3.1
137,Royal Residency 14,jayanagar,3BHK,19380.31,1172,FURNISHED,HIGH RISE,No,9.11,5.8,25-10-2025,Family,1.9
138,Green Park Apartments 52,electronic city,4 BHK,44713.08,1023.5,FURNISHED,low rise,no,8.58,5.8,03-04-2025,BACHELOR,3
139,Elite Apartments 62,Indiranagar,3 BHK,37000.87,2369.6,Furnished,Mid Rise,no,4.61,8.3,23-Dec-25,any,2
140,Budget Homes 81,  Marathahalli  ,2bhk,21431.85,2053.5,furnished,Mid Rise,NO,3.15 km,4.9,14-03-2027,FAMILY,2.9
141,Sunshine Residency 98,JP NAGAR,3bhk,,2573.5,Unfurnished,Mid Rise,,3.67,2.6,29-03-2025,bachelor,2.1
142,Metro View 100,WHITEFIELD,2bhk,25269.92,1918.8,furnished,High Rise,No,1.31 km,10,01-05-2025,Family,4.4
143,Sunshine Residency 71,Marathahalli,1bhk,15066.88,413.2,unfurnished,low rise,Yes,6.15,6.8,04-07-2025,Family,1.3
144,Comfort Villa 11,Indiranagar,1BHK,-1000,1712.1,Furnished,ground floor,Yes,9.51,1.2,02-11-2026,FAMILY,3.1
145,Budget Homes 97,Jayanagar,2 BHK,27180.71,1901.9,unfurnished,Low Rise,no,8.91 km,7.3,14-03-2025,Any,4.7
146,City Homes 44,electronic city,2BHK,22886.53,537.4,semi-furnished,ground floor,No,7.2,4.9,15-02-2026,Any,
147,Sunshine Residency 74,Electronic City,3BHK,38373.19,2940.8,unfurnished,High Rise,YES,9.91,8.7,05-06-2025,Bachelor,3.7
148,Royal Residency 7,btm layout,2bhk,26563.18,2330,furnished,GROUND FLOOR,No,5.57 km,8.2,23-03-2026,BACHELOR,2
149,Royal Residency 67,Marathahalli,1 BHK,14295.63,1477.2,Unfurnished,Ground Floor,yes,9.06,9.9,12-07-2025,bachelor,3.7
150,Comfort Villa 92,jayanagar,1 BHK,16720.65,2143.5,Unfurnished,GROUND FLOOR,YES,7.49,3.4,24-10-2025,any,7
151,Comfort Villa 95,indiranagar,3bhk,25502.62,1821.2,UNFURNISHED,Mid Rise,yes,6.25,2.5,22-05-2027,bachelor,1.8
152,City Homes 28,Electronic City,1BHK,12339.9,2527.9,Furnished,Low Rise,no,5.33,5.7,09-07-2025,FAMILY,2
153,City Homes 43,hsr layout,2BHK,23389.52,1255.6,UNFURNISHED,low rise,yes,7.94,4.3,25-04-2025,BACHELOR,4.3
154,Elite Apartments 63,Koramangala,1BHK,20865.7,1995.3,FURNISHED,GROUND FLOOR,No,3.75,3.6,28-05-2027,family,1.8
155,Royal Residency 74,btm layout,3BHK,36584.78,656.8,furnished,Low Rise,no,nan km,3,29-08-2026,bachelor,3.5
156,Sunshine Residency 19,  Jayanagar  ,1 BHK,16183.26,911,Unfurnished,GROUND FLOOR,NO,2.11,4.3,14-08-2025,Any,
157,Royal Residency 66,KORAMANGALA,3bhk,39284.99,,furnished,GROUND FLOOR,Yes,8.34,8,14-05-2027,BACHELOR,2.1
158,Comfort Villa 71,btm layout,1 BHK,11475.05,864.2,unfurnished,low rise,no,1.86,7,25-01-2027,Any,1.4
159,Sunshine Residency 88,KORAMANGALA,3BHK,21294.85,849.7,Semi-Furnished,HIGH RISE,yes,7.2,9.3,10-Jun-26,family,3.1
160,City Homes 26,electronic city,2bhk,19380.98,708.1,UNFURNISHED,High Rise,,0.57,1.9,16-08-2025,family,1.9
161,City Homes 24,jayanagar,2BHK,19070.71,720.3,UNFURNISHED,GROUND FLOOR,no,5.67 km,1.4,05-Apr-25,FAMILY,2.3
162,Royal Residency 66,Hebbal,1 BHK,24596.13,1359.9,Semi-Furnished,Low Rise,NO,6.03,6.8,13-08-2026,FAMILY,4.6
163,City Homes 67,BTM Layout,3 BHK,29324.24,2009.5,unfurnished,low rise,Yes,8.53,7.8,31-May-26,family,2.2
164,Budget Homes 3,jayanagar,1bhk,14048.91,952.8,furnished,GROUND FLOOR,no,5.2,4.1,19-04-2027,any,1.9
165,Metro View 85,Whitefield,4 BHK,34036.83,2564,unfurnished,Ground Floor,YES,9.14,9.8,13-11-2026,BACHELOR,1.7
166,Urban Heights 12,jayanagar,1bhk,18206.75,2680.3,Semi-Furnished,Ground Floor,No,,7.6,15-Sep-26,bachelor,2.9
167,Metro View 96,Electronic City,2bhk,15646.78,1121.7,unfurnished,Ground Floor,YES,5.59,2.3,09-08-2026,Family,2.5
168,Lake View Residency 41,JP Nagar,4 BHK,43906.03,1614,Unfurnished,Mid Rise,YES,9.69,3.6,05-11-2025,BACHELOR,3.5
169,City Homes 19,HSR Layout,3 BHK,29713.63,815.1,unfurnished,Mid Rise,no,9.76,9,15-09-2025,Family,4.2
170,City Homes 74,Marathahalli,2BHK,18582.94,2956,FURNISHED,HIGH RISE,YES,0.82,4.2,09-01-2026,Family,3.3
171,Metro View 97,Indiranagar,1BHK,11068.8,2262.8,semi-furnished,ground floor,NO,8.56,5.9,18-Apr-25,Family,1.4
172,Royal Residency 52,  WHITEFIELD  ,2bhk,26437.47,599.4,Furnished,low rise,yes,6.71,1.3,08-02-2025,Any,3
173,Green Park Apartments 93,Marathahalli,4 BHK,46522.82,1422.4,FURNISHED,Low Rise,yes,5.69,5.8,07-02-2025,Any,4.7
174,Urban Heights 44,jayanagar,3BHK,34561.36,2821.9,FURNISHED,low rise,Yes,3.38,1.3,31-03-2026,bachelor,4.9
175,Comfort Villa 99,JP Nagar,3bhk,31781.82,2803.6,Unfurnished,Low Rise,no,6.32,3.9,18-05-2025,Family,3.9
176,Metro View 49,Hebbal,2bhk,23558.98,2961.1,Unfurnished,Low Rise,NO,3.57,5.1,20-07-2025,Family,1.7
177,Royal Residency 57,electronic city,1bhk,22391.69,1961.8,semi-furnished,Low Rise,yes,8.31,1.8,30-05-2026,Family,1.7
178,Comfort Villa 50,JP Nagar,3bhk,32900.61,1842.9,unfurnished,GROUND FLOOR,No,7.95,3,29-Nov-25,Bachelor,3.1
179,Comfort Villa 17,Jayanagar,4 BHK,46967.98,918.1,Semi-Furnished,Mid Rise,,9.47,4.7,14-Nov-26,family,1.9
180,Metro View 27,JP Nagar,3BHK,30233.51,2473.5,Semi-Furnished,low rise,YES,6.99,8.1,13-08-2025,any,2.4
181,Metro View 98,Electronic City,3BHK,27840.26,1059.9,FURNISHED,low rise,Yes,3.09,2.7,22-07-2025,Family,4.5
182,Urban Heights 3,HSR Layout,2bhk,26661.3,561.4,FURNISHED,low rise,NO,2.41,2.4,22-03-2027,Any,8.5
183,Sunshine Residency 67,Whitefield,3bhk,36046.23,2824,UNFURNISHED,HIGH RISE,No,3.86,4.9,29-11-2026,bachelor,3.2
184,Comfort Villa 48,JP NAGAR,1bhk,13261.41,1764.6,Unfurnished,GROUND FLOOR,Yes,4.01,7.1,03-02-2026,Bachelor,1.8
185,Royal Residency 82,Koramangala,3bhk,35773.92,99999,FURNISHED,ground floor,yes,2.22,4.5,27-06-2026,Bachelor,3.3
186,Urban Heights 68,indiranagar,3 BHK,35634.49,1715.1,furnished,High Rise,No,9.23,4.8,28-02-2025,Bachelor,3.7
187,Sunshine Residency 43,Whitefield,1BHK,14510.74,1973.5,FURNISHED,Mid Rise,YES,5.09,9,05-05-2025,Any,2.9
188,Comfort Villa 26,BTM Layout,1BHK,14383.14,2783.8,Unfurnished,Mid Rise,NO,4.72 km,7.7,13-12-2026,Any,4.5
189,Royal Residency 47,btm layout,1bhk,21622.84,2333.4,Semi-Furnished,GROUND FLOOR,No,5.87,4.9,15-09-2026,family,3.7
190,Budget Homes 76,WHITEFIELD,3 BHK,35173.13,1802.6,Semi-Furnished,low rise,No,4.96,1,25-10-2025,Bachelor,3.7
191,City Homes 7,Koramangala,4 BHK,42280.03,1191.3,UNFURNISHED,High Rise,no,4.07,2.8,18-01-2026,any,3.6
192,Lake View Residency 34,electronic city,2BHK,18870.64,657.4,UNFURNISHED,Ground Floor,yes,1.28,8.3,19-01-2027,FAMILY,4.7
